PrimAUC,ActualUseDescription,Major Category,Category,Sub-category,BCBCOccupancyCode,Part3_Part9,CEEMap Archetype
236,Campground (Commercial),Commercial Small/Medium Industrial,Accommodation,Accommodation - other,C,Part 3,No CEEMap Archetype
237,Bed & Breakfast Operation 4 Or More Units,Commercial Small/Medium Industrial,Accommodation,Accommodation - other,C,Part 3,No CEEMap Archetype
238,Seasonal Resort,Commercial Small/Medium Industrial,Accommodation,Accommodation - other,C,Part 3,No CEEMap Archetype
239,Bed & Breakfast Operation Less Than 4 Units,Commercial Small/Medium Industrial,Accommodation,Accommodation - other,C,Part 3,No CEEMap Archetype
205,Big Box,Commercial Small/Medium Industrial,Retail,Big box,E,Part 3,No CEEMap Archetype
212,Department Store - Stand Alone,Commercial Small/Medium Industrial,Retail,Big box,E,Part 3,No CEEMap Archetype
284,"Seniors Strata - Care, Independent or Assisted Living",Commercial Small/Medium Industrial,Healthcare,Care facility,B,Part 3,No CEEMap Archetype
285,Seniors Licensed Care,Commercial Small/Medium Industrial,Healthcare,Care facility,B,Part 3,No CEEMap Archetype
286,Seniors Independent & Assisted Living,Commercial Small/Medium Industrial,Healthcare,Care facility,B,Part 3,No CEEMap Archetype
287,Group Home,Commercial Small/Medium Industrial,Healthcare,Care facility,B,Part 3,No CEEMap Archetype
31,Strata-Lot Self Storage-Res Use,Commercial Small/Medium Industrial,Warehouse,Closed warehouse,F,Part 3,No CEEMap Archetype
218,Strata-Lot Self Storage-Business Use,Commercial Small/Medium Industrial,Warehouse,Closed warehouse,F,Part 3,No CEEMap Archetype
273,Storage & Warehousing (Closed),Commercial Small/Medium Industrial,Warehouse,Closed warehouse,F,Part 3,No CEEMap Archetype
275,Self Storage,Commercial Small/Medium Industrial,Warehouse,Closed warehouse,F,Part 3,No CEEMap Archetype
650,"Schools & Universities, College Or Technical Schools",Commercial Small/Medium Industrial,Education,Education,A,Part 3,No CEEMap Archetype
257,Fast Food Restaurants,Commercial Small/Medium Industrial,Restaurant/Pub,Fast food,A,Part 3,No CEEMap Archetype
258,Drive-In Restaurant,Commercial Small/Medium Industrial,Restaurant/Pub,Fast food,A,Part 3,No CEEMap Archetype
215,Food Market,Commercial Small/Medium Industrial,Retail,Food - retail,E,Part 3,No CEEMap Archetype
54,Multi-Family (High-Rise),Residential,Multi-family,Hi-rise apartment,C,Part 9,No CEEMap Archetype
59,Stratified Rental Apartment (Hi-Rise Construction),Residential,Multi-family,Hi-rise apartment,C,Part 9,No CEEMap Archetype
640,Hospitals (Nursing Homes Refer To Commercial Section).,Commercial Small/Medium Industrial,Healthcare,Hospital,B,Part 3,No CEEMap Archetype
230,Hotel,Commercial Small/Medium Industrial,Accommodation,Hotel,C,Part 3,No CEEMap Archetype
400,Fruit & Vegetable,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
401,Industrial (Vacant),Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
402,Meat & Poultry,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
403,Sea Food,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
404,Dairy Products,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
405,Bakery & Biscuit Manufacturing,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
406,Confectionery Manufacturing & Sugar Processing,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
407,Soft Drink Bottling,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
408,Brewery,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
409,Winery,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
410,Distillery,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
412,Feed Manufacturing,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
413,Flour Mills & Breakfast Cereal Products,Industrial,Industrial,Industrial,F,Part 3,No CEEMap Archetype
