UnitOfMeasure,Major Category,Category,Sub-category
Banks GLA,Commercial Small/Medium Industrial,Retail,Office
Big Box GLA,Commercial Small/Medium Industrial,Retail,Big box
Convenience Store GLA,Commercial Small/Medium Industrial,Retail,Retail strip
Fast Food Restaurants GLA,Commercial Small/Medium Industrial,Restaurant/Pub,Fast food
Food Markets GLA,Commercial Small/Medium Industrial,Retail,Food - retail
IND GLA,Industrial,Industrial,Industrial
Junior Box GLA,Commercial Small/Medium Industrial,Retail,Retail strip
Office GLA,Commercial Small/Medium Industrial,Retail,Office
Restaurant/Pubs GLA,Commercial Small/Medium Industrial,Restaurant/Pub,Restaurant/Pub
SCM Anchor GLA,Commercial Small/Medium Industrial,Retail,Big box
SCM Commercial Retail Unit (CRU) GLA,Commercial Small/Medium Industrial,Retail,Retail strip
SCM Food Court GLA,Commercial Small/Medium Industrial,Restaurant/Pub,Fast food
SCM Kiosks,Commercial Small/Medium Industrial,Retail,Retail strip
SCM LAND-STORAGE,Commercial Small/Medium Industrial,Warehouse,Closed warehouse
SCM Mini - Anchor GLA,Commercial Small/Medium Industrial,Retail,Retail strip
SCM Storage GLA,Commercial Small/Medium Industrial,Warehouse,Closed warehouse
Theatres GLA,Commercial Small/Medium Industrial,Other - commercial/institutional,"Other - arts, entertainment and recreation"
